Level,XP,Credit
1,100,30
2,100,30
3,200,60
4,200,60
5,300,90
6,400,120
7,400,120
8,500,150
9,600,180
10,600,180
11,700,210
12,800,240
13,800,240
14,900,270
15,1000,300
16,1100,330
17,1200,360
18,1300,390
19,1400,420
20,1500,450
21,2100,630
22,2800,840
23,3400,1020
24,4000,1200
25,4700,1410
26,5300,1590
27,5900,1770
28,6500,1950
29,7200,2160
30,7900,2370
31,8100,2430
32,8300,2490
33,8500,2550
34,8700,2610
35,8900,2670
36,9100,2730
37,9300,2790
38,9500,2850
39,9700,2910
40,10800,3240
41,12300,3690
42,13800,4140
43,15300,4590
44,16800,5040
45,18400,5520
46,19900,5970
47,21400,6420
48,22900,6870
49,24400,7320
50,25900,7770
51,29000,8700
52,32200,9660
53,35300,10590
54,38400,11520
55,41600,12480
56,44700,13410
57,47800,14340
58,51000,15300
59,54100,16230
